"id","loss"
4,1442.76908769215
6,1957.51529675595
9,9548.02690866785
12,5685.81626426768
15,780.297411378766
17,2514.13489439857
21,2216.64242943653
28,913.510167017024
32,2598.28991076836
43,3152.40910319709
46,2997.41796439403
50,988.295324583857
54,1120.41879112001
62,1862.75508993038
70,2057.40354557676
71,4826.9930731709
75,2089.12234376666
77,2430.28104741621
81,2527.99741266446
83,2352.50135907948
87,2095.86158001037
97,1567.94714687576
103,1195.84172469638
119,1138.49579270642
120,1920.26936795857
127,937.903123120659
138,4697.92892379185
141,3644.88311304901
148,677.919993316902
150,2444.29396854098
151,2136.73018321131
158,1597.15286517823
160,5636.81647782256
165,2983.24584756055
168,3746.87993712633
169,3885.76290770454
177,2821.54358848859
178,2965.62957022589
184,2054.26367910483
194,9890.54046004489
198,1802.31610327698
203,3618.7512746759
211,2356.38329330591
217,1224.72284390045
219,1453.42234876451
221,4924.86584341841
227,1765.73875279622
230,1675.99920469111
235,2041.23051407138
240,675.151396850311
243,3213.41156568452
249,7313.89346972777
253,2912.35417830307
258,1386.69892886466
261,1593.24856675917
263,3806.6224674407
264,2430.05279005627
265,3857.73851188595
268,1885.49639314352
271,1071.34476115257
274,6067.28332962498
275,703.57601891621
279,1464.89395279986
282,1485.63124880379
286,3305.21902046126
288,1122.91067573681
294,2059.14908701889
296,961.019254510032
297,1240.87585341295
300,763.730279491296
303,9917.82023489011
314,1059.94940840063
315,5030.6715906127
321,2538.39373816575
323,4085.74835396305
330,4140.69452170512
341,1889.72905069662
342,4200.84198893054
352,1574.41058721158
353,3754.44913824129
360,4509.59599167132
361,2326.4005407572
362,4434.84303657475
366,1403.86066074755
372,3398.53126504554
376,2965.12544077576
377,2263.26201205662
379,1592.08175202367
380,3764.40267636837
387,1877.31331394247
392,1941.13475038912
394,12221.4405683076
395,1655.82728910418
397,1379.74519591003
407,5422.93061511365
411,9094.83976012637
416,2460.42065075871
417,1557.3292512564
419,3650.15586833124
428,5966.43564578017
431,1857.16502040764
436,8006.29782186621
438,1673.58012389597
445,6745.13424741523
446,7390.17110145643
455,1248.08531982938
456,1278.45200584187
461,898.471176040194
463,1883.12699000173
464,3788.95115729769
466,1658.73389466184
467,1479.28458970804
470,1208.87049414052
475,1409.23150850152
482,3016.11274770181
490,3503.97252687753
496,1888.73979968122
497,4523.35530790626
508,2830.3740666238
510,1890.33199624274
512,1860.78883111437
513,3557.12408562274
523,1797.60314213659
531,4706.94295217468
532,2273.75917406256
533,1426.08556547706
537,1169.52008217024
544,4323.67036906105
547,2740.97503090674
556,8000.08622236904
565,1400.95712674992
566,1200.21682895947
571,1447.92444350398
573,1579.46733300642
574,903.306959897315
581,2072.32545854564
585,2004.52735524964
589,2054.49264798664
597,1762.80894729626
601,3489.59896073627
602,1696.35149573843
613,1456.88552779563
616,1500.01143241954
619,2203.07033808809
622,1992.08171467208
623,2000.30977338083
629,1577.95507167165
634,1619.79783424739
638,1013.32812491741
642,1003.52547637225
643,1970.6505042521
645,1013.34316756897
648,6503.37647917963
652,1204.62975834117
664,1066.13768014076
666,2207.48141006523
672,876.064572052212
676,2176.7141807984
678,4693.67546432087
682,1813.78708519919
686,2498.90106590481
688,2008.36020698061
689,1262.36229626633
690,1757.28812712936
692,10767.3202896846
695,1734.16404922904
697,4010.90654634151
698,2155.42462790483
706,2718.37761819256
708,1500.17194446352
712,2744.63467697434
715,4329.26922940221
717,1418.4019464053
725,3195.77135265601
729,1139.61701945187
737,1404.29740978791
